Translation starting...
Need 10128/11044 words
  50/10128 | 900 with VI | 5.1 w/s | ETA 33m
  100/10128 | 950 with VI | 4.8 w/s | ETA 35m
  150/10128 | 1000 with VI | 4.9 w/s | ETA 34m
  200/10128 | 1050 with VI | 4.8 w/s | ETA 34m
  250/10128 | 1100 with VI | 4.9 w/s | ETA 33m
  300/10128 | 1150 with VI | 4.9 w/s | ETA 34m
  350/10128 | 1200 with VI | 4.9 w/s | ETA 33m
  400/10128 | 1250 with VI | 4.9 w/s | ETA 33m
  450/10128 | 1300 with VI | 4.8 w/s | ETA 33m
  500/10128 | 1350 with VI | 4.8 w/s | ETA 33m
  550/10128 | 1400 with VI | 4.7 w/s | ETA 34m
